name,acidity,fizziness,intensity,sweetness,tannin,price_euros,rank,ratings_average
Dona Ermelinda Grande Reserva,2.8185594,,4.1093764,2.167271,3.301781,29.95,8,4.4
Kairos,2.4236004,,3.965739,2.3404412,2.9441109,221.25,8,4.4
Barolo Cascina Francia,4.5209603,,3.7836592,1.6290693,4.3313737,420.0,9,4.6
Red,3.5781045,,4.7163663,1.7820876,3.4990153,399.0,9,4.6
Grand Siècle Champagne (Grande Cuvée),4.2405996,4.1706553,3.8804896,,,183.7,9,4.5
Tinto,3.5793161,,3.9910455,1.8429217,3.4551678,42.95,9,4.5
MV Rosé,4.088041,4.172566,3.969872,,,293.8,9,4.5
Bric Dël Fiasc Barolo,4.6329103,,3.8191528,1.6027927,4.374409,221.25,9,4.5
Bric Dël Fiasc Barolo,4.6329103,,3.8191528,1.6027927,4.374409,221.25,9,4.5
Dona Ermelinda Grande Reserva,2.8185594,,4.1093764,2.167271,3.301781,29.95,9,4.4
Barolo Rocche,4.443262,,3.7750337,1.7726882,4.192189,208.75,9,4.4
Tignanello,3.082814,,3.4132028,1.7224381,2.9867094,420.0,10,4.6
Redigaffi Toscana,3.0276775,,3.5147495,1.99489,3.018877,470.0,10,4.6
Dom Ruinart Blanc de Blancs Brut Champagne,4.2583113,4.1942058,3.914699,,,287.0,10,4.6
Grand Siècle Champagne (Grande Cuvée),4.2405996,4.1706553,3.8804896,,,183.7,10,4.5
Limited Edition 10 Vendemmie,3.6990364,,3.312688,2.054572,2.764013,34.2,10,4.5
Brunello di Montalcino,3.8186848,,3.1439083,1.5962596,3.6097949,331.25,10,4.5
Interpretación,3.5556211,,3.9463289,1.827968,3.622653,50.19,10,0.0
Le Petit Mouton de Mouton Rothschild Pauillac,4.1714125,,4.1546288,1.6595325,4.1678514,550.0,10,4.4
Pomerol,3.405894,,4.2273374,1.6605253,3.5517805,155.0,10,4.4
Vürsù Barbaresco Gallina,4.733941,,3.814363,1.5651741,4.1603694,257.5,10,4.4
Bramare Malbec Uco Valley,2.697112,,4.0279555,2.2074132,2.7679684,60.2,12,4.5
60 Sessantanni Old Vines Primitivo di Manduria,1.789258,,4.082944,3.1701102,2.2129438,63.95,14,4.5
Pauillac (Grand Cru Classé),4.201068,,4.22026,1.6716634,4.230456,119.0,14,4.4
Toro,2.6952467,,4.3283515,1.7763444,3.3199553,67.16,14,4.4
Lupi Rezerva,,,,,,36.55,15,4.6
Limited Edition 10 Vendemmie,3.6990364,,3.312688,2.054572,2.764013,34.2,15,4.5
Malbec Argentino,2.6859064,,3.9999688,2.0987563,2.6157,89.95,15,4.5
Amarone della Valpolicella Classico,2.213149,,4.8005404,3.3462367,2.2455263,51.9,15,4.4
Brut Rosé Champagne,4.2303543,4.160386,3.660386,,,81.5,16,4.4
Macán Clásico,3.6308076,,3.8611841,1.81529,3.7565541,56.0,16,4.4
60 Sessantanni Old Vines Primitivo di Manduria,1.789258,,4.082944,3.1701102,2.2129438,24.75,17,4.4
Chardonnay,2.992915,,4.628558,2.2345717,,78.95,18,4.4
Malleolus,3.6814659,,3.9343438,1.8257612,3.5076983,35.95,18,4.4
60 Sessantanni Old Vines Primitivo di Manduria,1.789258,,4.082944,3.1701102,2.2129438,24.75,19,4.4
Les Noisetiers,3.2327442,,4.7320294,2.8619092,,94.0,19,4.4
Castello della Sala Cervaro della Sala,3.8587165,,3.276715,2.3621032,,88.0,19,4.4
Costasera Amarone della Valpolicella Classico,2.2137997,,4.795965,3.2297275,2.241271,201.25,20,4.4
Interpretación,3.5556211,,3.9463289,1.827968,3.622653,50.19,20,0.0
Tinto,3.4960372,,3.8538537,2.1377509,3.315122,64.95,20,4.4
